# Name of the FOGGEI halo
# Name of the snapshot
# Redshift of snapshot
# Cosmological time of the snapshot (Gyr)
# Log of stellar mass (in Msun)
# Log of total metallicity (in Zsun)
# Log of the median of the metallicity distribution (in Zsun)
# Log of inter-quartile range of the distribution (75th - 25th percentile) (in Zsun)
# Fitted gradient of the radial profile, with uncertainty (in dex/kpc)
halo	output	redshift	time	log_mass	log_Ztotal	log_Z50	log_ZIQR	Zgrad
Squall	DD1254	0.77719211999601	6.951614461818719	10.53043346492455	-0.016974164223381313	-0.026455564706529218	0.29490820193621786	-0.095+/-0.005
Squall	DD1255	0.77615864006369	6.956993860381581	10.530655623752848	-0.01735781559240534	-0.03475008320886765	0.2944964103903076	-0.099+/-0.005
Squall	DD1256	0.77512655924346	6.962373258944443	10.530925117898766	-0.01799955468252454	-0.04394138250917107	0.2967838847068451	-0.104+/-0.005
Squall	DD1257	0.7740958745624099	6.967752657507306	10.53153280484851	-0.01825644996589024	-0.050061561564543285	0.29775144006723786	-0.103+/-0.004
Squall	DD1258	0.77306658305624	6.9731320560701695	10.532980530167986	-0.018368491910823032	-0.051784005639458924	0.3043536521856005	-0.099+/-0.004
Squall	DD1259	0.77203868176919	6.978511454633031	10.537860417588305	-0.01828851661685816	-0.053330999408101216	0.3134960716508248	-0.100+/-0.005
Squall	DD1260	0.7710121677541	6.983890853195892	10.53840075114284	-0.018404650791389254	-0.0517459542924614	0.3150097470185528	-0.097+/-0.005
Squall	DD1261	0.76998703807226	6.9892702517587555	10.538821531221192	-0.01801402141934419	-0.03937992196245725	0.31201794334718447	-0.095+/-0.005
Squall	DD1262	0.76896328979349	6.99464965032162	10.539338231384807	-0.01867715854359253	-0.03784642947623552	0.31250474922364674	-0.096+/-0.005
Squall	DD1263	0.76794091999604	7.000029048884481	10.539724759788426	-0.01845551320152977	-0.03377913217186986	0.3178449867084316	-0.098+/-0.005
Squall	DD1264	0.76691992576657	7.005408447447343	10.540053888839351	-0.01891172056131021	-0.03248360153776915	0.3247393801658984	-0.100+/-0.005
Squall	DD1265	0.7659003042001401	7.0107878460102055	10.540456481546899	-0.021170251416951204	-0.032500522678943364	0.33602144642418	-0.104+/-0.006
Squall	DD1266	0.7648820524001599	7.016167244573069	10.541083530374165	-0.023316710890827298	-0.03738512820927579	0.34519661136683727	-0.109+/-0.005
Squall	DD1267	0.7638651674783801	7.021546643135932	10.541540307948482	-0.026563277695547033	-0.047217107104320435	0.357553021377044	-0.110+/-0.005
Squall	DD1268	0.76284912705281	7.026926041698793	10.542096356778831	-0.030509189638392824	-0.060459061080845276	0.3711266077166449	-0.109+/-0.004
Squall	DD1269	0.7618307781816199	7.032305440261656	10.54276321629821	-0.032660372613844656	-0.06652864626403822	0.37752938383577106	-0.109+/-0.004
Squall	DD1270	0.76081379560125	7.037684838824518	10.543381682533203	-0.03411621777110997	-0.06427139215695145	0.37669783960342906	-0.109+/-0.004
Squall	DD1271	0.75979817643632	7.04306423738738	10.544032133027352	-0.03554694339034481	-0.06687759873713893	0.3886495545133001	-0.112+/-0.006
Squall	DD1272	0.7587839178197099	7.0484436359502425	10.544657795792924	-0.03596149538162085	-0.06494956007542503	0.3934221109941893	-0.118+/-0.007
Squall	DD1273	0.7577710168925	7.0538230345131065	10.545418591887534	-0.03822012922927609	-0.06613976132942323	0.39634391379093664	-0.117+/-0.007
Squall	DD1274	0.75675947080396	7.059202433075968	10.545938460504782	-0.03899650701228058	-0.059651117359872136	0.39304808353292264	-0.113+/-0.008
Squall	DD1275	0.7557492767115099	7.064581831638829	10.546404887641096	-0.042003432564977725	-0.06724094730191846	0.39757998221953117	-0.106+/-0.007
Squall	DD1276	0.75474043178069	7.0699612302016925	10.54313797966235	-0.04438990392928281	-0.08017040321148712	0.40434231459039727	-0.106+/-0.006
Squall	DD1277	0.75373293318514	7.075340628764557	10.544253623769063	-0.04504742263113052	-0.08920108037830682	0.41689916578452	-0.107+/-0.006
Squall	DD1278	0.7527267781065601	7.080720027327418	10.543999594009758	-0.04486326326658464	-0.08689404556397298	0.4166881252424139	-0.108+/-0.008
Squall	DD1279	0.7517219637346801	7.08609942589028	10.543832055098063	-0.04554834349713829	-0.09034983283883667	0.39779691244827553	-0.114+/-0.009
Squall	DD1280	0.75071848726723	7.091478824453144	10.544707470524106	-0.04442143098614471	-0.08684032163617633	0.3843565342495311	-0.114+/-0.007
Squall	DD1281	0.74971634590994	7.096858223016006	10.54455224610506	-0.03944638519627703	-0.07244546720960279	0.3685177553190678	-0.111+/-0.010
Squall	DD1282	0.74871553687647	7.102237621578867	10.547184516445823	-0.03483081973225703	-0.05136706964794716	0.3537412421806274	-0.110+/-0.009
Squall	DD1283	0.74771605738841	7.10761702014173	10.549454234119597	-0.03025649354658607	-0.02673370923285991	0.33307797962896735	-0.111+/-0.010
Squall	DD1284	0.7467179046752299	7.1129964187045935	10.55010445466074	-0.026478297702615245	-0.017892025107935878	0.31618275983719724	-0.106+/-0.010
Squall	DD1285	0.74572107597426	7.118375817267456	10.55085966333298	-0.02399901717113369	-0.020009586716685623	0.3050612029006535	-0.096+/-0.012
Squall	DD1286	0.7447255685306899	7.123755215830318	10.552721104583217	-0.01712467595547377	-0.007859704893467932	0.296883877501659	-0.097+/-0.011
Squall	DD1287	0.74373137959749	7.1291346143931795	10.553540119403408	-0.007193994148471136	-0.0029767072022728537	0.28939300658063677	-0.098+/-0.009
Squall	DD1288	0.7427385064354101	7.134514012956044	10.554368382056563	-0.0011565802725934985	-0.008025761718868428	0.29075878447505377	-0.100+/-0.009
Squall	DD1289	0.7417469463129799	7.139893411518905	10.555252324836442	0.0044239390015420425	-0.006592026608481745	0.2821663121829894	-0.097+/-0.005
Squall	DD1290	0.7407566965064101	7.145272810081768	10.556914514653561	0.009112296611225291	0.004823586357292124	0.2733018175421465	-0.096+/-0.005
Squall	DD1291	0.73976775429963	7.150652208644631	10.558450625531055	0.017289074511695163	0.011169114694272451	0.2758625764443042	-0.094+/-0.005
Squall	DD1292	0.73878011698425	7.156031607207493	10.559441835216726	0.02252873756857449	0.02237641183776536	0.2807083239320888	-0.097+/-0.006
Squall	DD1293	0.73778967333975	7.161411005770355	10.560495296225112	0.02674002232084477	0.02306663128937448	0.27135195379057675	-0.100+/-0.006
Squall	DD1294	0.7368004619159498	7.166790404333218	10.56197348390793	0.028849259844083142	0.01569710544383332	0.2543482814558005	-0.097+/-0.006
Squall	DD1295	0.73581255517721	7.1721698028960805	10.563360909194298	0.033695353515285416	0.013259165507329241	0.23544020602793014	-0.096+/-0.007
Squall	DD1296	0.73482595042612	7.177549201458943	10.563999995203895	0.03618093481099003	0.011601681749002135	0.233500051084163	-0.101+/-0.007
